,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count
105,Horror-Thriller,436.77,Miramax-Universal Pictures-Blumhouse Productions-Trancas International Films-Rough House Pictures-Home Again Productions,2021-10-14,20000000.0,131647155.0,105.0,6.617,2035.0
109,Science Fiction-Action-Adventure,427.78,Columbia Pictures-Marvel Entertainment-Matt Tolmach Productions-Pascal Pictures-Avi Arad Productions,2021-09-30,110000000.0,506863592.0,97.0,6.9,8157.0
114,Animation-Family-Fantasy,410.378,Pandemonium-Focus Features-Laika Entertainment,2009-02-05,60000000.0,124600000.0,100.0,7.806,6133.0
117,Action-Adventure-Fantasy,404.667,New Regency Pictures-Focus Features-Perfect World Pictures-Square Peg,2022-04-07,70000000.0,69633110.0,137.0,7.186,2544.0
120,Action-Science Fiction-Fantasy,401.97,Columbia Pictures-Matt Tolmach Productions-Avi Arad Productions,2022-03-30,75000000.0,161000000.0,105.0,6.32,2820.0
122,Action-Adventure,397.982,Columbia Pictures-Atlas Entertainment-Arad Productions-PlayStation Productions,2022-02-10,120000000.0,401748820.0,116.0,7.094,3794.0
124,Science Fiction,396.632,Centropolis Entertainment-Summit Entertainment-Lionsgate-Huayi Brothers Pictures-Huayi Tencent Entertainment Company-AGC Studios-Street Entertainment-UK Moonfall LLP,2022-02-03,146000000.0,59100000.0,130.0,6.4,1964.0
125,Adventure-Action-Science Fiction,394.559,Marvel Studios,2018-04-25,300000000.0,2046239637.0,149.0,8.266,25636.0
126,Horror-Mystery-Thriller,387.76,Paramount-Radio Silence-Project X Entertainment-Spyglass Media Group,2022-01-12,24000000.0,140041405.0,114.0,6.739,1806.0
129,Horror-Mystery-Thriller,384.546,New Line Cinema-The Safran Company-Atomic Monster,2021-05-25,39000000.0,201000000.0,111.0,7.584,4694.0
132,Animation-Comedy-Adventure-Family,378.114,Universal Pictures-DreamWorks Animation,2021-07-01,82000000.0,146745280.0,107.0,7.511,2093.0
133,Drama-Romance,377.998,Metro-Goldwyn-Mayer-Working Title Films-Bron Studios,2021-12-17,20000000.0,3000000.0,124.0,6.5,168.0
140,Horror-Mystery-Thriller,357.405,A24-Little Lamb Productions,2022-03-17,10000000.0,14257609.0,106.0,6.773,1152.0
141,Adventure-Fantasy,357.194,Warner Bros. Pictures-1492 Pictures-Heyday Films,2002-11-13,100000000.0,876688482.0,161.0,7.728,18862.0
142,Comedy,351.27,Gold/Miller Productions-Wayans Bros. Entertainment-Dimension Films-Brad Grey Pictures,2000-07-07,19000000.0,278019771.0,88.0,6.314,5793.0
145,Adventure-Fantasy,342.962,Warner Bros. Pictures-1492 Pictures-Heyday Films-P of A Productions Limited,2004-05-31,130000000.0,789804554.0,141.0,8.025,18551.0
146,Fantasy-Comedy-Family,340.332,Walt Disney Pictures-Touchwood Pacific Partners 1,1993-07-16,28000000.0,39514713.0,96.0,7.072,2449.0
149,Horror-Action-Thriller,335.966,Universal Pictures-Platinum Dunes-Blumhouse Productions-Perfect World Pictures-Man in A Tree,2021-06-30,18000000.0,76994245.0,103.0,7.1,1927.0
154,Comedy-Crime,328.743,Walt Disney Pictures-Marc Platt Productions-Gunn Films,2021-05-26,200000000.0,233503234.0,134.0,8.125,7516.0
155,Animation-Adventure-Comedy,327.452,Universal Pictures-Illumination,2021-12-01,85000000.0,406000000.0,110.0,8.0,3230.0
158,Drama-Comedy,323.646,Metro-Goldwyn-Mayer-FilmNation Entertainment-Free Association,2022-02-17,20000000.0,77263354.0,102.0,7.4,963.0
159,Adventure-Fantasy-Family,323.075,Warner Bros. Pictures-Heyday Films-Patalex IV Productions Limited,2005-11-16,150000000.0,895921036.0,157.0,7.82,17853.0
160,Adventure-Fantasy,323.032,Warner Bros. Pictures-1492 Pictures-Heyday Films,2001-11-16,125000000.0,976475550.0,152.0,7.915,23458.0
166,Drama-History-War,312.359,Permut Presentations-Summit Entertainment-Lionsgate-IM Global-Screen Australia-Pandemonium-Cross Creek Pictures-Screen NSW-Demarest Films-Vendian Entertainment,2016-10-07,40000000.0,175302354.0,139.0,8.19,11567.0
183,Drama-History-Adventure-Action-Fantasy-Mystery,293.445,Central Partnership-Non-Stop Productions-KIT Film Studio-DK Entertainment,2021-04-15,9100000.0,6459306.0,136.0,6.2,391.0
184,Action-Adventure-Fantasy-Science Fiction,293.07,Warner Bros. Pictures-Dune Entertainment-Atlas Entertainment-Access Entertainment-The Stone Quarry-DC Films,2021-03-18,70000000.0,657900000.0,242.0,8.246,8240.0
188,Horror-Thriller-Mystery,287.288,Warner Bros. Pictures-Studio Babelsberg-Appian Way-StudioCanal-Dark Castle Entertainment-Don Carmody Productions,2009-07-24,20000000.0,77912251.0,123.0,6.979,4452.0
193,Animation-Comedy-Family-Fantasy,283.763,Walt Disney Pictures-Pixar,2021-06-17,200000000.0,49010641.0,95.0,7.916,6759.0
194,Adventure-Fantasy-Mystery,282.974,Warner Bros. Pictures-Heyday Films,2007-06-28,150000000.0,938212738.0,138.0,7.691,16898.0
195,Action-Adventure-Fantasy,282.458,Marvel Studios,2021-09-01,150000000.0,432243292.0,132.0,7.653,7343.0
196,Adventure-Fantasy,282.066,Warner Bros. Pictures-Heyday Films,2010-10-06,250000000.0,954305868.0,146.0,7.777,16540.0
198,Action-Fantasy-Adventure,281.44,New Line Cinema-Broken Road Productions-Atomic Monster,2021-04-07,20000000.0,83601013.0,110.0,7.2,4895.0
201,Fantasy-Adventure,277.259,Warner Bros. Pictures-Heyday Films,2011-07-07,125000000.0,1341511219.0,130.0,8.116,17860.0
202,Action-Comedy-Adventure,275.545,Warner Bros. Pictures-Atlas Entertainment-The Safran Company-DC Films,2021-07-28,185000000.0,168657565.0,132.0,7.6,6692.0
211,Horror-Thriller,267.779,Miramax-Universal Pictures-Blumhouse Productions-Trancas International Films-Rough House Pictures,2018-10-18,10000000.0,253688035.0,106.0,6.55,4031.0
212,Science Fiction-Action-Adventure,267.147,Marvel Studios,2021-11-03,200000000.0,402064899.0,156.0,7.03,6443.0
219,Adventure-Fantasy,262.473,Warner Bros. Pictures-Heyday Films,2009-07-07,250000000.0,933959197.0,153.0,7.7,16702.0
223,Horror-Science Fiction-Action,260.25,Constantin Film-Impact Pictures-Davis Films-Screen Gems-CAPCOM,2021-11-24,40000000.0,38600612.0,107.0,6.1,1858.0
227,Action-Thriller,252.098,Zero Gravity Management-Screen Australia-Film Victoria-The Solution-Lightstream Entertainment,2022-02-10,43000000.0,15400000.0,104.0,6.3,712.0
229,Drama-Action,249.803,Showbox-C-JeS Entertainment-Dexter Studios-Cine Joo-MAGNUM9,2022-08-03,18052672.0,19200000.0,140.0,7.16,47.0
232,Comedy,246.331,Sony Pictures International Productions-Bowfinger-MAMA SE FUE DE VIAJE LA PELICULA A.I.E.,2019-08-02,3400000.0,15894372.0,95.0,7.661,545.0
235,Science Fiction-Action-Adventure,242.0,Village Roadshow Pictures-Warner Bros. Pictures-Venus Castina Productions,2021-12-16,190000000.0,156497322.0,148.0,6.593,4257.0
236,Horror-Thriller,241.433,New Line Cinema-Dune Entertainment-The Safran Company-Evergreen Media Group-Atomic Monster,2016-06-08,40000000.0,320392818.0,134.0,7.281,7100.0
237,Animation-Family-Adventure-Comedy,241.058,Paramount-Nickelodeon Movies-Mikros Image-Spin Master,2021-08-09,26000000.0,144327371.0,86.0,7.4,1029.0
239,Action-Comedy-Crime-Thriller,239.576,Flynn Picture Company-Seven Bucks Productions-Bad Version,2021-11-04,160000000.0,178143.0,118.0,6.795,4250.0
240,Action-Animation-Science Fiction,238.915,20th Century Fox-Toei Animation-Toei Company-Fox International Productions-Fizz Sound Creation,2015-04-18,5000000.0,61768190.0,93.0,6.8,1522.0
243,Adventure-Science Fiction-Action,237.481,Marvel Studios,2019-04-24,356000000.0,2797800564.0,181.0,8.277,22004.0
244,Drama-Thriller-War,237.287,Lionsgate-Relativity Media-Sighvatsson Films-Michael De Luca Productions-Palomar Pictures,2009-01-22,26000000.0,43318349.0,105.0,7.227,2550.0
