,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count
5431,Western,21.81,Constantin Film-United Artists-Jolly Film-Ocean Films,1964-01-18,200000.0,14500000.0,99.0,7.9,3442.0
5433,Horror,21.796,20th Century Fox-Davis Entertainment-TSG Entertainment,2014-01-08,7000000.0,36433975.0,89.0,4.6,435.0
5438,Comedy-Drama-Romance,21.785,21 Laps Entertainment-Andrew Lauren Productions-Global Produce,2013-08-02,2500000.0,6854611.0,95.0,6.643,2553.0
5441,Drama-Family,21.78,Kanoon,1997-08-01,180000.0,925402.0,89.0,8.0,475.0
5444,Drama-Romance,21.772,ARTE France Cinéma-Hold Up Films-Lilies Films,2019-06-17,5740000.0,9923127.0,120.0,8.209,1886.0
5446,Romance-Comedy,21.769,Wonderland Sound and Vision-CBS Films-Vast Entertainment,2015-02-20,8500000.0,43528634.0,100.0,6.8,4059.0
5447,Action-Horror-Science Fiction,21.768,Babelsberg Film-Di Bonaventura Pictures-John Wells Productions-Reaper Productions-Stillking Films-Doom Productions-Distant Planet Productions,2005-10-20,60000000.0,58072119.0,105.0,5.086,1849.0
5449,Romance-Fantasy-Drama-Comedy,21.757,Columbia Pictures,1993-02-11,14600000.0,71074049.0,101.0,7.597,6601.0
5450,Adventure-Action-Thriller,21.75,United Artists-Eon Productions-Danjaq,1981-06-23,28000000.0,195312802.0,128.0,6.477,1488.0
5453,Comedy-Drama,21.743,Columbia Pictures,2000-04-06,43000000.0,6219894.0,103.0,6.136,802.0
5458,Drama-Action-Comedy,21.73,Canal+-TF1 Films Production-Tobis-Samitose Productions-Destiny-EuropaCorp-Victor Company of Japan (JVC),2001-10-31,15300000.0,10366360.0,94.0,6.6,1044.0
5460,Family-Comedy,21.727,Universal Pictures-Northern Lights Entertainment,1993-12-14,15000000.0,118243066.0,89.0,5.5,826.0
5461,Comedy,21.722,TF1 Films Production-StudioCanal-Chez Wam-Les Robins des Bois Airlines,2004-01-28,17820000.0,14054361.0,94.0,6.3,983.0
5465,Drama-Romance,21.71,Aviacsa-Cinevista,1992-04-16,2000000.0,21744201.0,105.0,7.2,375.0
5466,Romance-Comedy,21.708,20th Century Fox,1998-07-15,23000000.0,369884651.0,119.0,6.6,4286.0
5468,Comedy-Adventure-Science Fiction-Fantasy,21.705,Indigo Film-RAI-Faso Film-Fonds Eurimages du Conseil de l'Europe-MiC-Regione Lazio-Media Programme of the European Community-Babe Film-Friuli Venezia Giulia Film Commission,2014-12-18,8000000.0,5216102.0,100.0,6.2,889.0
5469,Thriller,21.703,Fish Eye Network,2003-01-17,501717.0,5481471.0,136.0,4.4,16.0
5471,Comedy-Fantasy-Romance,21.695,Columbia Pictures-Red Wagon Entertainment-Bewitched,2005-06-21,85000000.0,131426169.0,102.0,5.0,1339.0
5472,Action-Adventure-Science Fiction-Thriller,21.692,Paramount-Rysher Entertainment,1996-08-09,50000000.0,42277365.0,97.0,5.866,1179.0
5475,Thriller-Action-Animation-Science Fiction,21.679,Warner Bros. Animation-DC Entertainment,2018-01-12,1000000.0,3469151.0,78.0,6.7,581.0
5477,Adventure-Drama-Fantasy,21.677,Bron Studios-Sailor Bear-A24-Creative Wealth Media Finance-Ley Line Entertainment-Wild Atlantic Pictures,2021-07-29,15000000.0,18888418.0,130.0,6.6,1327.0
5478,Mystery-Thriller-Drama,21.672,Columbia Pictures-Mandalay Entertainment,1998-03-20,20000000.0,67200000.0,108.0,6.3,1399.0
5479,Drama-Romance,21.666,Amblin Entertainment-Malpaso Productions-Warner Bros. Pictures,1995-05-28,24000000.0,182016617.0,135.0,7.7,1754.0
5483,Action-Thriller,21.659,Electric Entertainment,2004-09-06,25000000.0,56422687.0,94.0,6.4,1584.0
5498,Drama,21.626,Double Feature Films-3 Arts Entertainment-PeaPie Films,2015-10-02,20000000.0,36606743.0,100.0,6.5,2892.0
5500,Action-Thriller-Science Fiction-Adventure,21.621,DreamWorks Pictures-Warner Bros. Pictures-K/O Paper Products-Parkes-MacDonald Productions,2005-07-21,126000000.0,162949164.0,136.0,6.658,4643.0
5503,Comedy-Romance,21.601,Myriad Pictures-Tapestry Films-Artisan Entertainment,2002-03-29,6000000.0,39241323.0,92.0,6.0,1560.0
5504,Drama-Comedy-Music,21.6,BBC Films-Tiger Aspect Productions-StudioCanal-Arts Council of England-Working Title Films-WT2 Productions,2000-09-28,5000000.0,109280263.0,110.0,7.593,3311.0
5510,Action-Crime-Drama,21.582,Columbia Pictures-Original Film-Stanhaven Productions-Relativity Media-Visual Arts Entertainment,2006-09-15,30000000.0,41480851.0,125.0,7.0,800.0
5513,Crime-Drama-Horror-Mystery-Thriller,21.579,Radar Pictures-Mandate Pictures-Platinum Dunes,2009-02-06,20000000.0,1017401.0,90.0,5.9,453.0
5514,Music-Comedy,21.578,Touchwood Pacific Partners 1-Touchstone Pictures-Walt Disney Studios Motion Pictures,1992-05-28,31000000.0,231605150.0,100.0,6.828,2676.0
5517,Adventure-History-Action,21.576,Touchstone Pictures,1999-08-13,160000000.0,61698899.0,102.0,6.7,1511.0
5518,Action-Fantasy-Horror,21.574,JVC-Largo Entertainment-Film Office-Spooky Tooth Productions-Storm King Productions,1998-10-30,20000000.0,20308772.0,108.0,6.323,999.0
5521,Thriller-Action-Drama,21.566,Paramount-Mace Neufeld Productions-MFP Munich Film Partners GmbH & Company I. Produktions KG-S.O.A.F. Productions-Mel's Cite du Cinema,2002-05-31,68000000.0,193921372.0,124.0,6.3,1391.0
5522,Action,21.566,Millennium Films-777 Films Corporation-Wonderworks Films,2003-11-24,17000000.0,293671.0,96.0,6.4,413.0
5523,Fantasy-Drama-Comedy-Family,21.565,Walt Disney Pictures-Outlaw Productions-Hollywood Pictures,1994-11-11,22000000.0,189833357.0,97.0,6.4,1631.0
5524,Crime-Drama,21.555,Double Feature Films-Jersey Films-Kernos Filmproduktionsgesellschaft & Company,2007-01-05,21000000.0,43095175.0,123.0,7.9,1830.0
5526,Drama-Romance,21.554,20th Century Fox-Zucker Brothers Productions,1995-08-11,20000000.0,50012507.0,103.0,7.201,774.0
5527,Comedy-Science Fiction-Adventure-Family,21.554,20th Century Fox-Dune Entertainment-Regency Enterprises-Guy Walks into a Bar Productions-Deep River Productions-Friendly Films (II),2008-07-08,60000000.0,50650079.0,90.0,5.277,1199.0
5529,Comedy,21.546,Gaumont-20th Century Fox-Brooksfilms,1993-07-28,20000000.0,35739755.0,104.0,6.6,1719.0
5532,Crime-Drama,21.538,B2Y EOOD-Escobar Films,2017-10-12,4667008.0,17535962.0,123.0,6.3,882.0
5536,Drama,21.532,Lionsgate-Netter Productions-TIK Films,2017-08-11,9000000.0,22088533.0,127.0,7.1,639.0
5539,Adventure-Action-Comedy,21.528,Universal Pictures-StudioCanal-Working Title Films,2003-03-14,40000000.0,160583018.0,88.0,6.2,2898.0
5540,Drama-Action-Crime,21.527,Current Entertainment-Epsilon Motion Pictures-Pierce-Williams-Zero Gravity Management-Möbius Entertainment-Rampage Entertainment-Chaotic Productions-Mobius International,2005-01-17,30000000.0,7000000.0,106.0,6.3,836.0
5543,Drama-Thriller,21.517,Di Novi Pictures,2017-03-06,12000000.0,17768012.0,100.0,5.8,554.0
5550,Comedy-Drama-Family,21.496,Columbia Pictures-Rastar Productions,1982-05-21,35000000.0,57059003.0,127.0,6.5,580.0
5554,Action-Thriller-Crime,21.487,Canal+-CiBy 2000-Sofica EuropaCorp-CinéCinéma-EuropaCorp-TF1 International,2009-02-18,15000000.0,8786375.0,101.0,6.4,961.0
5555,Animation-Adventure-Family,21.477,Triggerfish Animation Studios,2013-07-18,20000000.0,27187375.0,85.0,6.0,210.0
5563,Family-Action-Adventure-Animation-Comedy-Science Fiction,21.453,Paramount-Nickelodeon Movies-O Entertainment-DNA Productions,2001-12-21,25000000.0,80936232.0,83.0,5.9,744.0
5564,Drama-Romance,21.452,DreamWorks Pictures-Scott Rudin Productions-BBC Films-Goldcrest-Neal Street Productions-Evamere Entertainment,2008-12-19,35000000.0,75981180.0,119.0,6.963,3268.0
5565,Thriller,21.452,Illusion Entertainment Group-Phoenix Pictures-Clyde Is Hungry Films-Canal+ Droits Audiovisuels,1997-10-03,19000000.0,6682098.0,125.0,6.6,567.0
5566,Family-Animation-Music-Adventure-Fantasy,21.447,Lionsgate-DHX Media-Allspark Pictures,2017-10-05,6000000.0,61294644.0,99.0,7.2,316.0
5574,Fantasy-Action-Adventure-Family,21.434,20th Century Fox-Ingenious Media-Dune Entertainment-Major Studio Partners-Fox 2000 Pictures-Davis Entertainment-Mid Atlantic Films,2006-12-14,100000000.0,249288105.0,104.0,5.1,2865.0
5575,Fantasy-Horror,21.432,United Artists-DEG-Lion Films,1988-06-09,3500000.0,4385516.0,86.0,6.263,353.0
5577,Western,21.43,Malpaso Productions-Warner Bros. Pictures,1985-06-28,6900000.0,41410568.0,115.0,7.2,848.0
5578,Fantasy-Comedy-Drama,21.429,Paramount,1988-11-22,32000000.0,60328558.0,101.0,6.803,1199.0
5580,Horror-Thriller,21.427,Village Roadshow Pictures-NPV Entertainment-Warner Bros. Pictures,2001-02-02,10000000.0,16300000.0,96.0,5.4,440.0
5581,Drama,21.422,DreamWorks Pictures-MacDonald/Parkes Productions-Sidney Kimmel Entertainment-Neal Street Productions-China Film Co-Production Corporation-Wonderland Films-Participant-Ebeling Group-Beijing Happy Pictures Cultural Communications Co.-Kite Runner Holdings,2007-12-14,20000000.0,73276047.0,128.0,7.3,1003.0
5585,Action-Adventure-Comedy-Science Fiction-Western,21.414,Warner Bros. Pictures-Todman Simon LeMasters Productions-Peters Entertainment-Sonnenfeld Josephson Worldwide Entertainment,1999-06-29,170000000.0,222104681.0,106.0,5.306,2885.0
5587,Crime-Drama,21.407,Fine Line Features-Meno Films-HBO Films-Fearmakers Studios-Blue Relief Productions,2003-09-20,3000000.0,10012022.0,81.0,7.1,1548.0
5590,Horror-Thriller,21.398,New Line Cinema,1989-08-11,6000000.0,22168359.0,89.0,5.4,979.0
5592,Drama-Thriller-Mystery-Action,21.395,Vertigo Entertainment-40 Acres and a Mule Filmworks-Good Universe-OB Productions,2013-11-14,30000000.0,5186767.0,104.0,5.933,1693.0
5593,Comedy,21.395,Columbia Pictures-Mosaic Media Group,2011-05-16,20000000.0,216197492.0,92.0,5.57,4130.0
5602,Drama-Music,21.372,Columbia Pictures-New Visions Pictures,1987-07-24,6500000.0,54215416.0,108.0,7.2,572.0
5603,Action-Adventure-Comedy-Thriller,21.37,Columbia Pictures,2002-10-31,70000000.0,51386477.0,97.0,5.4,805.0
5607,Thriller-Mystery-Adventure,21.36,Davis Entertainment-Relativity Media-Rogue-QED International-Tooley Productions,2009-06-08,14000000.0,22852638.0,98.0,6.307,1043.0
5610,Music-Comedy-Romance,21.355,20th Century Fox,1953-07-14,2300000.0,5300000.0,91.0,7.3,739.0
5615,Comedy-Romance,21.339,Fox Searchlight Pictures-26 Films,2009-06-05,17000000.0,20455276.0,95.0,6.1,337.0
5616,Drama-Comedy,21.337,Scott Rudin Productions-Waypoint Entertainment-A24,2018-10-19,258158.0,6897446.0,86.0,7.5,1239.0
5620,Comedy-Horror-Science Fiction,21.308,New Line Cinema-Sho Films,1988-04-29,4500000.0,3813293.0,86.0,6.0,319.0
5621,Comedy,21.308,Paramount-Gary Sanchez Productions-Apatow Productions,2013-12-18,50000000.0,173649015.0,119.0,6.1,2176.0
5626,War-Drama-Action-History,21.295,Metro-Goldwyn-Mayer-Lion Rock Productions,2002-06-14,115000000.0,77628265.0,134.0,6.2,1034.0
5628,Comedy-Romance,21.286,DreamWorks Pictures-Radar Pictures-Conundrum Entertainment-Davis Entertainment,2007-10-05,60000000.0,127766650.0,116.0,5.7,1374.0
5630,Action-Crime,21.281,Columbia Pictures-Sony Pictures-Silver Pictures,2018-06-13,16000000.0,20545116.0,107.0,6.8,314.0
5632,Adventure-Comedy-Family-Science Fiction,21.279,Walt Disney Pictures-Buena Vista Pictures,1989-06-23,18000000.0,222724172.0,93.0,6.3,2568.0
5633,Action-Drama,21.279,CJ Entertainment-JK Film-HB Entertainment-Rear Window,2017-01-18,8520000.0,56100000.0,125.0,6.9,73.0
5635,Comedy-Drama-Romance,21.274,Canal+-CNC-Haut et Court-Eurimages-Lemming Film-Element Pictures-Nederlands Fonds voor de Film-Film4 Productions-Greek Film Centre-Ciné+-Faliro House Productions-Protagonist Pictures-Scarlet Films-Institut Français-L'Aide aux Cinémas du Monde-Limp Films-Ministère des Affaires étrangères et du Développement International,2015-10-15,4000000.0,15656193.0,118.0,7.0,5064.0
5639,Drama-History,21.257,Columbia Pictures-Sony Pictures-Village Roadshow Pictures-Scott Free Productions-LStar Capital-The Cantillon Company-The Shuman Company,2015-11-12,35000000.0,50363790.0,123.0,7.095,2262.0
5642,Adventure-Family-Drama,21.241,Canal+-Pandora Film-StudioCanal-Film Afrika Worldwide-Galatée Films-M6 Films-Ciné+-M6-Film- und Medienstiftung NRW-W9-Outside Films,2018-08-02,9600000.0,35487190.0,98.0,7.3,759.0
5645,Drama-History-Crime-Thriller,21.239,Endgame Entertainment-Vendian Entertainment-KrautPack Entertainment,2016-09-15,40000000.0,37357216.0,134.0,7.098,3832.0
5647,Action-Comedy-Documentary,21.23,Paramount-MTV Films-Dickhouse Productions-Lynch Siderow Productions,2006-09-22,11000000.0,72778712.0,92.0,6.5,927.0
5650,Adventure-Action-Comedy-Romance,21.227,Caravan Pictures-Roger Birnbaum Productions-Northern Lights Entertainment-Touchstone Pictures,1998-06-12,70000000.0,164839294.0,98.0,6.0,1193.0
5651,Comedy-Drama,21.222,Metro-Goldwyn-Mayer-Cube Vision,2002-04-01,12000000.0,77063924.0,102.0,6.3,374.0
5654,Action-Comedy-Adventure-Romance-Drama,21.201,Malpaso Productions-Warner Bros. Pictures,1978-12-16,5000000.0,85196485.0,110.0,6.1,361.0
5655,Drama,21.199,David Brown Productions,1992-12-11,40000000.0,243240178.0,138.0,7.5,2856.0
5658,Thriller-Crime-Drama,21.192,Canal+-France 3 Cinéma-Wild Bunch-LGM Productions-Les Productions du Trésor-Mars Distribution-France Télévisions-Worldview Entertainment-Ciné+-M6-Caneo Films-Grisbi Productions-France 4-W9-Chi-Fou-Mi Productions-Treasure Company,2013-08-22,25500000.0,2415472.0,128.0,6.093,393.0
5659,Animation-Science Fiction-Adventure-Fantasy-Music,21.187,Columbia Pictures-Guardian Trust Company-Canadian Film Development Corporation (CFDC)-Potterton Productions-Famous Players,1981-08-07,9300000.0,20100000.0,90.0,6.5,546.0
5661,Action-Comedy-Thriller-Romance,21.181,Katalyst Films-Lionsgate-Aversano Films,2010-10-04,75000000.0,98159963.0,100.0,6.0,1902.0
5663,Crime-Drama-Thriller,21.179,Blue Rider Pictures-JTP Films-Pimienta-Hannibal Classics-Speed Kills Production,2018-11-16,15000000.0,5812.0,102.0,5.6,99.0
5668,Horror-Science Fiction,21.166,TriStar Pictures-Palisades California Inc.,1988-08-05,19000000.0,8247943.0,95.0,6.704,677.0
5669,Crime-Drama-History,21.164,Winkler Films-Tribeca Productions-Sikelia Productions,2019-11-01,159000000.0,968853.0,209.0,7.632,5634.0
5672,War-History-Action-Adventure-Drama-Romance,21.153,Warner Bros. Pictures-Summit Entertainment-France 3 Cinéma-Intermedia Films-Pathé Renn Productions-India Take One Productions-Egmond Film & Television-Pacifica Film-IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG-Dune Films-WR Universal Group-Santa International Film Productions,2004-11-21,155000000.0,167298192.0,175.0,5.901,2812.0
5674,Drama,21.145,Jersey Films,2000-03-17,52000000.0,256271286.0,131.0,7.4,2578.0
5677,Comedy-Romance,21.129,New Line Cinema-Karz Entertainment-ESPN-Rice Films,2010-02-10,52000000.0,216485654.0,125.0,5.896,2748.0
5681,Drama-Horror-Thriller,21.115,Paramount Vantage-VN Productions,2008-02-01,12000000.0,58010320.0,98.0,5.775,861.0
5685,Action-Thriller-Science Fiction,21.108,Lakeshore Entertainment-Lionsgate,2009-09-03,50000000.0,40828540.0,95.0,5.7,2011.0
5691,Action-Drama-Mystery-Thriller,21.087,Warner Bros. Pictures-Silver Pictures-Donner/Shuler-Donner Productions,1997-08-08,75000000.0,136982834.0,135.0,6.6,1197.0
5693,Comedy-Crime,21.084,Warner Bros. Pictures-Police Academy Productions,1986-03-20,12000000.0,107600000.0,84.0,5.8,992.0
5697,Crime-Drama-Thriller,21.065,Participant-Imagenation Abu Dhabi FZ-FilmNation Entertainment-Before the Door Pictures-Washington Square Films-Old Bull Pictures-CounterNarrative Films,2014-12-31,20000000.0,12007070.0,124.0,6.598,1224.0
5698,Comedy-Drama,21.062,Summit Entertainment-Mandate Pictures-Point Grey Pictures,2011-09-30,8000000.0,39187783.0,100.0,7.1,3252.0
5700,Comedy-Romance,21.055,Universal Pictures-Huayi Brothers Pictures-Wonderland Sound and Vision-Voltage Pictures-STX Entertainment,2018-04-19,32000000.0,94539426.0,111.0,6.411,1871.0
5702,Drama-Romance,21.05,United Artists-Intial Productions-Lumière Pictures,1995-10-27,3600000.0,49800000.0,111.0,7.257,1120.0
5704,Animation-Action-Science Fiction-Adventure,21.047,Lucasfilm Ltd.-Warner Bros. Pictures-Lucasfilm Animation,2008-08-05,8500000.0,68282844.0,98.0,6.1,1651.0
5705,Science Fiction-Action-Mystery,21.046,Phoenix Pictures,2000-11-17,82000000.0,96085477.0,123.0,5.946,1659.0
5706,Comedy,21.043,LIFT Productions-Eden Rock Media,2005-10-07,3000000.0,18637690.0,94.0,6.3,631.0
5708,Crime-Drama-Thriller,21.04,Metro-Goldwyn-Mayer-Avnet/Kerner Productions,1997-10-30,48000000.0,22420000.0,122.0,6.2,288.0
5715,Thriller-Drama-Romance,21.025,Columbia Pictures-Fine Line Features-Canal+-R.P. Productions-Les Films Alain Sarde-Timothy Burrill Productions,1992-09-02,5000000.0,1862805.0,139.0,7.1,553.0
5717,Horror-Drama-Fantasy,21.005,Universal Pictures,1931-02-12,355000.0,700000.0,74.0,7.193,919.0
5718,Drama-Thriller-War,21.003,Summit Entertainment-Kingsgate Films-Voltage Pictures-Film Capital Europe Funds (FCEF )-First Light-Grosvenor Park Media,2008-10-10,15000000.0,49230772.0,131.0,7.263,4793.0
5720,Action-Adventure-Comedy-Family,21.002,TriStar Pictures,1991-08-09,10000000.0,8667684.0,90.0,5.1,79.0
5721,Horror-Action-Thriller-Fantasy,21.0,XYZ Films-Wallimage-uMedia-Piccadilly Pictures-SpectreVision-Legion M,2018-09-13,6000000.0,1214525.0,122.0,6.23,1549.0
5722,Crime-Drama,20.998,Solar Productions-Allied Artists Pictures-Corona-General,1973-12-13,12000000.0,53267000.0,151.0,7.9,1553.0
5725,Western-Adventure-Action-Romance,20.993,Paramount-Laurel Productions,1966-12-17,4653000.0,6000000.0,120.0,7.4,400.0
5732,Comedy-Fantasy,20.977,Universal Pictures-Stuber Productions,2011-04-08,49900000.0,28013733.0,102.0,5.32,1113.0
5735,Action-Thriller,20.971,Warner Bros. Pictures-Geffen Pictures-Silver Pictures,1991-03-19,29000000.0,59509925.0,105.0,6.8,1515.0
5738,Comedy-Documentary,20.966,Paramount-MTV Films-Dickhouse Productions-Lynch Siderow Productions,2002-10-25,5000000.0,64282312.0,88.0,6.3,1277.0
5742,Drama-Thriller,20.953,Be Good Productions-Scion Films-Mandeville Films-Inferno Distribution,2008-10-24,9750000.0,558000.0,99.0,6.1,292.0
5747,Drama-Mystery-Science Fiction-Thriller,20.947,20th Century Fox-Ten Thirteen Productions-Dune Entertainment III-Crying Box Productions,2008-07-24,30000000.0,69363381.0,104.0,5.726,1237.0
5749,Crime-Thriller-Horror,20.944,Universal Pictures-Working Title Films-Perfect World Pictures-Another Park Film,2017-10-12,35000000.0,43203413.0,119.0,5.188,1903.0
5753,Comedy,20.934,New Line Cinema-Village Roadshow Pictures-21 Laps Entertainment-Wrigley Pictures-Van Brand,2017-02-16,22000000.0,41087017.0,91.0,6.1,1069.0
5754,Comedy-Music-Romance,20.932,Paramount-SNL Studios,1998-10-01,17000000.0,30331165.0,81.0,6.574,733.0
5756,Science Fiction-Thriller,20.931,Universal Pictures-Weed Road Pictures-Blumhouse Productions-Dino De Laurentiis Company-BoulderLight Pictures,2022-05-12,12000000.0,10593000.0,94.0,6.0,386.0
5760,Drama,20.922,20th Century Fox-Road Movies-WDR-Channel Four Films-Pro-ject Filmproduktion-Argos Films-Wim Wenders Stiftung,1984-08-23,1746964.0,2181987.0,145.0,8.121,1330.0
5761,Animation-Adventure-Comedy-Family,20.922,Skyline Entertainment-Moetion Films-Ulysses Filmproduktion-Fabrique d'images-Grid Animation,2015-03-26,6000000.0,769028.0,85.0,6.3,256.0
5762,Fantasy-Drama,20.919,Canal+-BIM Distribuzione-Eurimages-Wild Bunch-Les Cinémas de la Zone-FFA-Fidélité Films-OCS-Essential Filmproduktion-Ministère de la Culture et de la Communication-Paranoid Filmes,2009-06-17,13000000.0,754249.0,161.0,7.4,1462.0
5765,Drama-Romance-War,20.915,Hawk Films-Warner Bros. Pictures-Peregrine,1975-11-26,11000000.0,198992.0,185.0,8.002,2307.0
5767,Thriller-Drama-Mystery-Science Fiction,20.9,Revolution Studios-Jinks/Cohen Company-Visual Arts Entertainment,2004-09-24,42000000.0,117592831.0,91.0,6.0,954.0
5768,Romance-Comedy,20.896,The Weinstein Company,2011-09-16,24000000.0,31410151.0,89.0,5.2,337.0
5769,Drama,20.892,Highwayman Films-Cor Cordium Productions-Hear/Say Productions,2020-12-04,5000000.0,14784114.0,108.0,7.3,2417.0
5772,Crime-Thriller,20.888,Warner Bros. Pictures,1954-05-29,1400000.0,3000000.0,105.0,8.0,2092.0
5773,Horror,20.886,Focus Features-Amblin Partners-Reliance Entertainment,2020-10-28,9000000.0,8119285.0,96.0,6.3,479.0
5774,Adventure-Fantasy-Action-Comedy-Family,20.884,Columbia Pictures-Oak Productions,1993-06-18,85000000.0,137298489.0,131.0,6.388,2182.0
5780,Action-Thriller,20.877,Metro-Goldwyn-Mayer-Krisjair-Laredo,1991-08-23,23000000.0,7434726.0,98.0,6.4,321.0
5782,Crime-Drama-Thriller,20.869,Warner Bros. Pictures-Appian Way-Pearl Street Films,2016-12-25,108000000.0,22678555.0,129.0,6.2,1140.0
5786,Comedy-Thriller-Crime-Mystery,20.859,Paramount-Debra Hill Productions-PolyGram Filmed Entertainment-The Guber-Peters Company,1985-12-13,15000000.0,14643997.0,94.0,7.2,1370.0
5787,Drama-Music-Romance,20.856,Tree Line Films-Konrad Pictures-Catfish Productions-Fox 2000 Pictures-Mars Media Beteiligungs,2005-09-13,28000000.0,186797986.0,136.0,7.5,2422.0
5788,Action-Fantasy-Science Fiction,20.854,Australian Film Finance Corporation-Lionsgate-Furst Films-Pictures in Paradise-Pacific Film and Television Commission,2009-10-01,20000000.0,51417188.0,98.0,6.283,1659.0
5790,Drama-Thriller,20.843,Constantin Film-Rat Pack Filmproduktion-B.A. Produktion-Medienfonds GFP,2008-03-11,7500000.0,19000000.0,107.0,7.5,2812.0
5792,Comedy,20.839,Warner Bros. Pictures-Gary Sanchez Productions,2015-03-26,40000000.0,111811453.0,100.0,5.987,2348.0
5794,Action-Comedy-Crime,20.836,Paramount-Eddie Murphy Productions-Don Simpson/Jerry Bruckheimer Films,1987-05-18,28000000.0,299965036.0,103.0,6.465,1953.0
5795,Science Fiction-Thriller,20.832,Spyglass Entertainment-The Jacobson Company-Touchstone Pictures-Red Horizon Productions,2000-03-10,90000000.0,60874615.0,114.0,5.985,1168.0
5796,Adventure-Action-Comedy-Thriller-Crime,20.832,Warner Bros. Pictures-Silver Pictures-St. Petersburg Clearwater Film Commission,1992-05-15,35000000.0,321731527.0,118.0,6.696,2391.0
5800,Comedy-Family,20.806,Alcon Entertainment,2005-01-06,30000000.0,90754475.0,102.0,5.8,498.0
5803,Action-Horror-Thriller,20.788,Pictures in Paradise-Screen Australia-Media Development Authority (MDA)-Screen Queensland-Bait Productions-Story Bridge Films-Blackmagic Design Films,2012-09-05,30000000.0,32500000.0,93.0,5.7,638.0
5806,Drama-History-Action,20.782,Universal Pictures-Raffaella De Laurentiis Productions,1993-05-07,14000000.0,63513743.0,120.0,6.933,562.0
5807,Mystery-Science Fiction,20.78,New Line Cinema-Mystery Clock Cinema,1998-02-27,27000000.0,27200316.0,100.0,7.3,2234.0
5808,Thriller,20.78,Mediapro-Televisión Abierta,2019-04-04,3000000.0,1292773.0,87.0,6.4,89.0
5809,Science Fiction-Adventure,20.775,New Line Cinema-Irwin Allen Productions-Prelude Pictures-Saltire Entertainment,1998-04-03,80000000.0,136159423.0,130.0,5.366,1030.0
5810,Comedy,20.773,New Line Cinema,2000-01-12,11000000.0,59827328.0,98.0,6.4,449.0
5815,Drama,20.766,Plan B Entertainment-Upload Films-Altitude Film Entertainment-A24-PASTEL,2016-10-21,4000000.0,65046687.0,111.0,7.403,6249.0
5816,Drama-Comedy-War,20.765,Columbia Pictures-Hawk Films,1964-01-29,1800000.0,9523464.0,95.0,8.144,4688.0
5822,Action-Drama-Crime,20.747,Canal+-TF1 Films Production-StudioCanal-Silver Pictures-ICAA-Nostromo Pictures-Anton Capital Entertainment (ACE)-ICEC-Prone Gunman-Prone Gunman A.I.E.,2015-02-16,40000000.0,13644292.0,115.0,5.736,831.0
5824,Drama-Thriller-Crime-Mystery,20.745,The Weinstein Company-FilmEngine-Capitol Films-Ascendant Pictures-VIP Medienfonds 4-Mel's Cite du Cinema-Lucky Number Slevin Productions Inc.-The Complex,2006-02-24,27000000.0,56308881.0,110.0,7.5,3463.0
5827,Comedy-Crime,20.737,Warner Bros. Pictures,1987-04-02,17000000.0,76800000.0,88.0,5.47,938.0
5830,Comedy-Crime-Action,20.724,Warner Bros. Pictures-Silver Pictures-Waypoint Entertainment-Bloom-Nice Guys-Misty Mountains,2016-05-15,50000000.0,62788218.0,116.0,7.096,6673.0
5831,Romance-Drama,20.72,Metro-Goldwyn-Mayer-PSO-Jonesfilm-Galactic Films-Triple Ajaxxx,1986-02-09,17000000.0,6735922.0,117.0,6.1,780.0
5836,Romance-Drama-Comedy,20.692,Silver Screen Partners III-Touchstone Pictures-Interscope Communications,1988-07-29,20000000.0,171504781.0,104.0,6.1,1179.0
5845,Drama-Romance-Comedy,20.678,New Line Cinema-Forge-Midnight Sun Pictures,1999-02-12,35000000.0,40263020.0,112.0,6.665,852.0
5847,Fantasy-Comedy-Family,20.672,Universal Pictures-Spyglass Entertainment-Shady Acres Entertainment-Original Film-Relativity Media,2007-06-09,175000000.0,174440724.0,96.0,5.538,3675.0
5850,Action,20.667,Odyssey Media-Rodin Entertainment-Ace Film Company-Chunqiu Time Culture Co.,2015-05-07,7500000.0,163080.0,104.0,5.8,188.0
5851,Drama-Thriller-Mystery,20.666,StudioCanal-The Montecito Picture Company-Outpost Studios,2010-03-04,14000000.0,13657649.0,96.0,6.0,1432.0
5856,Comedy-Family-Adventure,20.66,20th Century Fox-21 Laps Entertainment,2005-12-21,60000000.0,129181830.0,94.0,6.1,1748.0
5857,Crime-Drama-Mystery,20.658,Imagine Entertainment-Universal Pictures-Malpaso Productions-Relativity Media,2008-01-30,55000000.0,113020255.0,141.0,7.609,3580.0
5860,Thriller-Horror,20.653,Vertigo Entertainment-Lionsgate-Room 101-Snoot Entertainment,2016-09-15,5000000.0,45172994.0,89.0,5.2,1668.0
5868,Comedy-Romance,20.631,Jersey Films,2004-01-16,42000000.0,178311729.0,90.0,5.966,2456.0
5873,Romance-Drama-History,20.62,Miramax-Imagine Entertainment-Universal Pictures-Buena Vista International-Touchstone Pictures,2005-06-02,88000000.0,108539911.0,144.0,7.5,1819.0
